Sheliak;18h50m;+33°22';LYRA;multiple star;3.5 and 6.7;45;Multiple stars : Green, Blue and 2 White
Delta Lyrae;18h54m;+36°59';LYRA;multiple star;4.2 and 5.6;618;Multiple stars : Orange, Blue and White
Sigm 921;6h32m;+11°15';MONOCEROS;double star;6.1 and 9.1;15;Double stars : Blue
Sigm 1183;8h06m;-9°16';MONOCEROS;double star;6.3 and 7.9;31;Double stars : White
Epsilon Mon.;6h24m;+4°35';MONOCEROS;double star;4.4 and 6.7;12;Double stars Yellow and Blue
Beta Mon.;6h29m;-7°02';MONOCEROS;multiple star;3.8 and 5.1;7.4;Multiple stars : 2 White and Blue
Tau Ophiuchi;18h04m;-8°11';OPHIUCHUS;double star;4.8 and 5.8;2;Double stars : Yellow
36 Ophiuchi;17h16m;-26°37';OPHIUCHUS;double star;5 and 5.1;4.8;Double stars : Yellow
Sigm 2276;18h06m;+12°00';OPHIUCHUS;double star;6.5 and 7.4;7;Double stars : Yellow
o Oph.;17h19m;-24°18';OPHIUCHUS;double star;5.1 and 6.6;9.7;Double stars Blue and Orange
Marfik;16h31m;+1°58';OPHIUCHUS;double star;3.8 and 5.1;2;Double stars Yellow and Blue
70 Ophiuchi;18h06m;+2°30';OPHIUCHUS;double star;4.1 and 6.1;4.9;Double stars Yellow and Purple
Alnitak;5h41m;-1°56';ORION;double star;1.7 and 3.7;2.4;Double stars : Blue
52 Orionis;5h48m;+6°27';ORION;double star;5.3 and 6;1.1;Double stars : Yellow
Meissa;5h36m;+9°56';ORION;double star;3.4 and 5.4;4.3;Double stars Blue and Green
Nair Al Saif;5h35m;-5°54';ORION;double star;2.8 and 7.7;11;Double stars Blue and White
23 Orionis;5h23m;+3°33';ORION;double star;4.9 and 7.1;31;Double stars Green and White
Rho Orionis;5h24m;+2°52';ORION;double star;4.4 and 8.5;7;Double stars Orange and Blue
Mintaka;5h32m;-0°17';ORION;double star;3.7 and 6.8;52;Double stars White and Blue
Sigma Ori.;5h59m;-2°36';ORION;multiple star;3.8 and 6.8;12;Multiple stars : 2 White, Red and Blue
Sigm 2841;21h55m;+19°46';PEGASUS;double star;6.3 and 8.7;22;Double stars : Yellow
Omicron Per.;3h45m;+32°19';PERSEUS;double star;3.8 and 6.6;1.3;Double stars : White
Epsilon Per.;3h58m;+40°02';PERSEUS;double star;2.9 and 8.9;9.4;Double stars Blue and Green
Sigm 369;3h17m;+40°31';PERSEUS;double star;6.4 and 7.7;3.6;Double stars Blue and White
Eta Persei;2h51m;+55°56';PERSEUS;double star;3.8 and 8.4;28;Double stars Orange and Blue
Sigm 331;3h02m;+52°23';PERSEUS;double star;5.2 and 6.6;11;Double stars White and Blue
Sigm 268;2h30m;+55°35';PERSEUS;double star;6.5 and 8.5;2.3;Double stars White and Yellow
Zeta Piscium;1h14m;+7°38';PISCES;double star;5.2 and 6.4;22;Double stars : White
Alrischa;2h03m;+2°49';PISCES;double star;3.8 and 5.1;2;Double stars Green and Blue
55 Piscium;0h40m;+21°29';PISCES;double star;5.3 and 8.4;6.6;Double stars Yellow and Blue
5 Puppis;7h48m;-12°12';PUPPIS;double star;5.5 and 7.3;1;Double stars Yellow and Blue
Zeta Sagi.;19h49m;+19°09';SAGITTA;double star;5.1 and 8.9;7.9;Double stars Green and Blue
Theta Sagi.;20h10m;+20°56';SAGITTA;multiple star;6.5 and 8.8;11;Multiple stars : 2 Yellow and Blue
Antares;16h30m;-26°27';SCORPIUS;double star;1.3 and 6.5;3;Double stars Orange and Green
12 Scorpii;16h13m;-28°27';SCORPIUS;double star;5.6 and 8.1;3.8;Double stars White and Orange
Graffias;16h06m;-19°49';SCORPIUS;double star;2.5 and 4.9;13;Double stars Yellow and Blue
Jabbah;16h13m;-19°29';SCORPIUS;multiple star;4.1 and 5.2;1.8;Multiple stars : 3 Blue
Delta Ser.;15h35m;+10°30';SERPENS;double star;3.8 and 5.1;4;Double stars : White
Alya;18h57m;+4°13';SERPENS;double star;4.6 and 4.9;22;Double stars : Yellow
35 Sextantis;10h44m;+4°42';SEXTANS;double star;5.8 and 7.1;6.5;Double stars : Yellow
Theta Tauri;4h29m;+15°54';TAURUS;double star;3.4 and 3.8;337;Double stars : White
Chi Tauri;4h23m;+25°39';TAURUS;double star;5.4 and 8.5;19;Double stars Blue and White
Sigm 422;3h37m;+0°37';TAURUS;double star;5.8 and 8.8;6.7;Double stars Orange and Blue
118 Tauri;5h30m;+25°10';TAURUS;double star;5.5 and 6.6;4.6;Double stars White and Blue
Delta 3 Tau.;4h26m;+17°57';TAURUS;double star;4.3 and 8.3;1.7;Double stars White and Grey
Phi Tauri;4h21m;+27°22';TAURUS;double star;4.9 and 7.4;48;Double stars Yellow and Blue
Sigm 495;4h08m;+15°11';TAURUS;double star;6 and 8.7;3.8;Double stars Yellow and Blue
Sigm 548;4h29m;+30°23';TAURUS;double star;6.4 and 8.2;14;Double stars Yellow and Blue
Iota Tri.;2h13m;+30°21';TRIANGULUM;double star;4.9 and 6.6;39;Double stars Yellow and Blue
Messier 40;12h23m;+58°02';URSA MAJOR;double star;9.6 and 10.1;52;Double stars : White
Mizar&Alcor;13h24m;+54°53';URSA MAJOR;multiple star;2.2 and 3.8;14;Multiple stars : Blue, 2 White and Grey
65 Ursae M.;11h56m;+46°26';URSA MAJOR;multiple star;6.5 and 8.3;4;Multiple stars : White and 2 Blue
Polaris;2h43m;+89°18';URSA MINOR;double star;2.1 and 8.2;18;Double stars Yellow and Blue
Porrima;12h42m;+1°30';VIRGO;double star;3.4 and 3.5;2.6;Double stars : Yellow
54 Virginis;13h14m;-18°53';VIRGO;multiple star;6.2 and 7.1;5.8;Multiple stars : 2 White and Blue
